epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.65787,0.92524,2.56701,0.95564,0.6158,0.33333,0.40627,0.28772,1.28345,2.99681,1.01588,0,0,0
2,5.16871,1.23141,2.90588,1.03081,0.23793,0.33333,0.40519,0.28739,1.28573,2.98211,1.01524,1.07219e-06,1.07219e-06,1.07219e-06
3,7.57302,0.95893,2.77959,1.0195,0.57205,0.33333,0.40519,0.28739,1.28393,2.94327,1.01367,1.90876e-06,1.90876e-06,1.90876e-06
4,9.99376,1.05743,2.96336,0.97967,0.57185,0.33333,0.40519,0.28739,1.29382,2.87464,1.01454,2.50971e-06,2.50971e-06,2.50971e-06
5,12.4409,0.92547,2.40611,0.95321,0.5696,0.33333,0.40627,0.28772,1.29754,2.80774,1.0141,2.87504e-06,2.87504e-06,2.87504e-06
6,14.9833,1.01226,2.91289,1.04359,0.6209,0.33333,0.40627,0.28772,1.3031,2.74654,1.01426,3.00475e-06,3.00475e-06,3.00475e-06
7,17.3788,0.96499,2.51025,0.95008,0.62266,0.33333,0.40627,0.28772,1.3087,2.6911,1.01439,2.89884e-06,2.89884e-06,2.89884e-06
8,19.7547,1.06388,2.92172,0.98818,0.62357,0.33333,0.42329,0.3023,1.31703,2.63247,1.0149,2.55731e-06,2.55731e-06,2.55731e-06
9,22.095,0.95378,2.3047,1.06936,0.62357,0.33333,0.42329,0.3023,1.31703,2.63247,1.0149,1.98016e-06,1.98016e-06,1.98016e-06
10,24.5357,0.96218,2.38565,0.97749,0.62451,0.33333,0.40883,0.29753,1.33349,2.58983,1.0162,1.16739e-06,1.16739e-06,1.16739e-06
