epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0705,1.26302,1.387,1.19381,0.77194,0.42366,0.4676,0.36858,0.9143,0.90381,1.01532,2.023e-05,2.023e-05,2.023e-05
2,93.4089,1.11308,1.13959,1.11227,0.55024,0.42551,0.44934,0.35153,0.94591,0.87903,1.02046,3.75266e-05,3.75266e-05,3.75266e-05
3,139.459,1.05055,0.92,1.08417,0.9355,0.33867,0.44796,0.34329,0.90717,0.80979,0.99687,5.05821e-05,5.05821e-05,5.05821e-05
4,185.648,1.00378,0.84663,1.05667,0.8666,0.40327,0.47358,0.36044,0.91695,0.7666,0.988,5.93965e-05,5.93965e-05,5.93965e-05
5,231.34,0.99858,0.82564,1.05033,0.86125,0.41002,0.47915,0.36482,0.91131,0.75469,0.98946,6.39696e-05,6.39696e-05,6.39696e-05
6,277.355,0.96897,0.78635,1.05435,0.91255,0.39933,0.47363,0.36249,0.88597,0.72711,0.98449,6.0095e-05,6.0095e-05,6.0095e-05
7,322.756,0.99037,0.7843,1.0369,0.91545,0.42731,0.4959,0.37155,0.87482,0.72216,0.98241,4.8314e-05,4.8314e-05,4.8314e-05
8,368.167,0.94395,0.76386,1.02814,0.91798,0.40226,0.48826,0.37137,0.86976,0.72557,0.98158,3.6533e-05,3.6533e-05,3.6533e-05
9,414.214,0.95479,0.75304,1.02117,0.92786,0.40333,0.50959,0.38744,0.86624,0.71231,0.97855,2.4752e-05,2.4752e-05,2.4752e-05
10,460.582,0.93124,0.73208,1.03098,0.92258,0.39665,0.51264,0.39096,0.85479,0.69847,0.97429,1.2971e-05,1.2971e-05,1.2971e-05
